Sl_no,image_path,thisN,thisTrialN,thisRepN,key_resp_5.keys,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,key_resp_5.rt,key_resp_5.duration,key_resp_9.keys,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,key_resp_9.rt,key_resp_9.duration,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,welcome_page.started,text.started,key_resp.started,welcome_page.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instructions.started,ins.started,key_resp_2.started,instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instructions_2.started,text_10.started,key_resp_10.started,instructions_2.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.duration,objects_only_instruction.started,text_3.started,key_resp_3.started,objects_only_instruction.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,ISI.started,text_4.started,ISI.stopped,practice_block.started,image.started,text_5.started,key_resp_5.started,practice_block.stopped,practice.key_resp_5.keys,indoor_outdoor.started,text_7.started,key_resp_7.started,indoor_outdoor.stopped,practice.key_resp_7.keys,practice.key_resp_7.rt,practice.key_resp_7.duration,text_4.stopped,image.stopped,text_5.stopped,key_resp_5.stopped,practice.key_resp_5.rt,practice.key_resp_5.duration,practice_to_main.started,text_2.started,key_resp_4.started,practice_to_main.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,objects.started,image_2.started,text_9.started,key_resp_9.started,objects.stopped,trials.key_resp_9.keys,encoding_task.started,text_8.started,key_resp_8.started,encoding_task.stopped,trials.key_resp_8.keys,trials.key_resp_8.rt,trials.key_resp_8.duration,image_2.stopped,text_9.stopped,key_resp_9.stopped,trials.key_resp_9.rt,trials.key_resp_9.duration,end_experiment.started,text_6.started,key_resp_6.started,end_experiment.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,list_of_stimuli,encoding_task_accuracy,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.049517999999977746,0.11610249999995403,0.11610249999995403,57.0735148,space,56.81847879999998,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00023,001,2025-11-14_15h38.10.062,MST_task,2024.2.2,60.391578998217604,2025-11-14 15h38.22.075204 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.07356269999997,57.0981754,57.0981754,77.3816031,space,20.27058549999998,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00023,001,2025-11-14_15h38.10.062,MST_task,2024.2.2,60.391578998217604,2025-11-14 15h38.22.075204 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.38162679999999,77.39776519999998,77.39776519999998,94.96456719999998,space,17.56552590000001,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00023,001,2025-11-14_15h38.10.062,MST_task,2024.2.2,60.391578998217604,2025-11-14 15h38.22.075204 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.96459979999997,94.98076749999996,94.98076749999996,111.764139,space,16.770432900000003,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00023,001,2025-11-14_15h38.10.062,MST_task,2024.2.2,60.391578998217604,2025-11-14 15h38.22.075204 +0530,
5,practice_images/139a.jpg,0,0,0,None,j,3.160801500000048,None,,,,,,,,,0,0,0,4,,,,,111.88023329999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.87651019999998,111.88023329999999,112.2803978,112.47604339999998,112.51370729999996,112.51370729999996,112.51370729999996,115.28036349999996,None,115.28163269999999,115.29698109999998,115.29698109999998,118.4640877,j,3.160801500000048,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00023,001,2025-11-14_15h38.10.062,MST_task,2024.2.2,60.391578998217604,2025-11-14 15h38.22.075204 +0530,
6,practice_images/158a.jpg,1,1,0,None,j,0.9148816000000011,None,,,,,,,,,0,1,1,5,,,,,118.48025489999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.46417889999998,118.48025489999998,118.9639401,118.99509129999996,119.0136622,119.0136622,119.0136622,121.98024939999999,None,121.9802876,121.99684479999996,121.99684479999996,122.9139032,j,0.9148816000000011,None,119.0136622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00023,001,2025-11-14_15h38.10.062,MST_task,2024.2.2,60.391578998217604,2025-11-14 15h38.22.075204 +0530,
1,practice_images/013a.jpg,2,2,0,None,f,0.6969915999999898,None,,,,,,,,,0,2,2,0,,,,,122.93030859999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.91398219999996,122.93030859999999,123.41370989999996,123.4370068,123.44686209999998,123.44686209999998,123.44686209999998,126.42964619999998,None,126.4296784,126.44627009999999,126.44627009999999,127.14648739999996,f,0.6969915999999898,None,123.44686209999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00023,001,2025-11-14_15h38.10.062,MST_task,2024.2.2,60.391578998217604,2025-11-14 15h38.22.075204 +0530,
9,practice_images/180a.jpg,3,3,0,None,f,0.32592979999998306,None,,,,,,,,,0,3,3,8,,,,,127.1628518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.1465708,127.1628518,127.64636179999997,127.67724679999998,127.6795429,127.6795429,127.6795429,130.64661919999998,None,130.64666159999996,130.6632977,130.6632977,130.99698179999996,f,0.32592979999998306,None,127.6795429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00023,001,2025-11-14_15h38.10.062,MST_task,2024.2.2,60.391578998217604,2025-11-14 15h38.22.075204 +0530,
2,practice_images/031a.jpg,4,4,0,None,f,0.6152313999999706,None,,,,,,,,,0,4,4,1,,,,,131.01330939999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.99706369999996,131.01330939999997,131.49701269999997,131.51201879999996,131.52994239999998,131.52994239999998,131.52994239999998,134.51325359999998,None,134.5132855,134.5298856,134.5298856,135.14704999999998,f,0.6152313999999706,None,131.52994239999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00023,001,2025-11-14_15h38.10.062,MST_task,2024.2.2,60.391578998217604,2025-11-14 15h38.22.075204 +0530,
7,practice_images/166a.jpg,5,5,0,None,f,4.9419096999999965,None,,,,,,,,,0,5,5,6,,,,,135.16316359999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.147136,135.16316359999996,135.6466254,135.67720279999998,135.69651819999996,135.69651819999996,135.69651819999996,138.6631627,None,138.66475659999998,138.6797921,138.6797921,143.630069,f,4.9419096999999965,None,135.69651819999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00023,001,2025-11-14_15h38.10.062,MST_task,2024.2.2,60.391578998217604,2025-11-14 15h38.22.075204 +0530,
10,practice_images/182a.jpg,6,6,0,None,f,0.3911464000000251,None,,,,,,,,,0,6,6,9,,,,,143.6463561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.63015659999996,143.6463561,144.1298595,144.14179279999996,144.146183,144.146183,144.146183,147.12979329999996,None,147.129822,147.1462914,147.1462914,147.5465633,f,0.3911464000000251,None,144.146183,147.1462914,147.1462914,147.1462914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00023,001,2025-11-14_15h38.10.062,MST_task,2024.2.2,60.391578998217604,2025-11-14 15h38.22.075204 +0530,
4,practice_images/002b.jpg,7,7,0,None,f,0.5089489999999728,None,,,,,,,,,0,7,7,3,,,,,147.5629457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.5466424,147.5629457,148.04644429999996,148.0694709,148.07960549999996,148.07960549999996,148.07960549999996,151.06289329999998,None,151.06292299999996,151.07949209999998,151.07949209999998,151.59659249999999,f,0.5089489999999728,None,148.07960549999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00023,001,2025-11-14_15h38.10.062,MST_task,2024.2.2,60.391578998217604,2025-11-14 15h38.22.075204 +0530,
8,practice_images/178a.jpg,8,8,0,None,f,0.2423833000000286,None,,,,,,,,,0,8,8,7,,,,,151.61285279999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.59666299999998,151.61285279999998,152.09638709999996,152.11994449999997,152.12950659999996,152.12950659999996,152.12950659999996,155.1128349,None,155.11286909999995,155.1294421,155.1294421,155.3798635,f,0.2423833000000286,None,152.12950659999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00023,001,2025-11-14_15h38.10.062,MST_task,2024.2.2,60.391578998217604,2025-11-14 15h38.22.075204 +0530,
3,practice_images/037a.jpg,9,9,0,f,None,,,1.9442672999999786,0.12965239999999767,,,,,,,0,9,9,2,,,,,155.39622609999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.37994099999997,155.39622609999998,155.87966439999997,155.9042971,155.9129822,155.9129822,155.9129822,158.89602249999996,f,158.89606049999998,,,158.8960705,None,,,155.9129822,,,,1.9442672999999786,0.12965239999999767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00023,001,2025-11-14_15h38.10.062,MST_task,2024.2.2,60.391578998217604,2025-11-14 15h38.22.075204 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.89611159999998,158.9126938,158.9126938,175.71275279999998,space,16.792149800000004,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,00023,001,2025-11-14_15h38.10.062,MST_task,2024.2.2,60.391578998217604,2025-11-14 15h38.22.075204 +0530,
,Objects\006a.jpg,0,0,0,,,,,,,None,f,4.12584609999999,None,,,,,,,0,0,0,0,175.72900569999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.71338149999997,175.72900569999996,176.2124862,,,,,,,,,,,,,,176.2458663,,,,,,,,,,,,,176.23019269999998,176.2458663,176.2458663,176.2458663,179.2289523,None,179.2311196,179.245563,179.245563,183.37911309999998,f,4.12584609999999,None,,,,,,,,,,,,,,,00023,001,2025-11-14_15h38.10.062,MST_task,2024.2.2,60.391578998217604,2025-11-14 15h38.22.075204 +0530,
