participant_uid,participant_id,condition,condition_label,trial_index,block_index,within_block_position,boundary_position,response_key,response_rt,responded,encoding_task_accuracy,lure_bin,image_path_normalized,stimulus_class,item_number,item_role
item_only_00001,00001,item_only,Item Shift Only,1,1,1,post,f,1.763380699998379,True,0.9534883720930233,5,Objects/122a.jpg,Objects,122,studied
item_only_00001,00001,item_only,Item Shift Only,2,1,2,mid,f,1.629774400000315,True,0.9534883720930233,2,Objects/088a.jpg,Objects,88,studied
item_only_00001,00001,item_only,Item Shift Only,3,1,3,mid,f,1.1510969000009936,True,0.9534883720930233,1,Objects/038a.jpg,Objects,38,studied
item_only_00001,00001,item_only,Item Shift Only,4,1,4,mid,f,3.9002208999991126,True,0.9534883720930233,2,Objects/164a.jpg,Objects,164,studied
item_only_00001,00001,item_only,Item Shift Only,5,1,5,mid,j,3.0942505999992136,True,0.9534883720930233,1,Objects/086a.jpg,Objects,86,studied
item_only_00001,00001,item_only,Item Shift Only,6,1,6,mid,f,0.8893315999994229,True,0.9534883720930233,5,Objects/186a.jpg,Objects,186,studied
item_only_00001,00001,item_only,Item Shift Only,7,1,7,pre,f,1.0763301000006322,True,0.9534883720930233,3,Objects/188a.jpg,Objects,188,studied
item_only_00001,00001,item_only,Item Shift Only,8,2,1,post,j,0.8894713999980013,True,0.9534883720930233,4,Scenes/187a.jpg,Scenes,187,studied
item_only_00001,00001,item_only,Item Shift Only,9,2,2,mid,j,1.009036899999046,True,0.9534883720930233,5,Scenes/151a.jpg,Scenes,151,studied
item_only_00001,00001,item_only,Item Shift Only,10,2,3,mid,f,2.6609533000009833,True,0.9534883720930233,3,Scenes/097a.jpg,Scenes,97,studied
item_only_00001,00001,item_only,Item Shift Only,11,2,4,mid,f,2.865747600000759,True,0.9534883720930233,4,Scenes/149a.jpg,Scenes,149,studied
item_only_00001,00001,item_only,Item Shift Only,12,2,5,mid,j,1.9843884000001708,True,0.9534883720930233,1,Scenes/018a.jpg,Scenes,18,studied
item_only_00001,00001,item_only,Item Shift Only,13,2,6,mid,f,1.2390057999982673,True,0.9534883720930233,1,Scenes/020a.jpg,Scenes,20,studied
item_only_00001,00001,item_only,Item Shift Only,14,2,7,pre,j,1.507849300000089,True,0.9534883720930233,4,Scenes/179a.jpg,Scenes,179,studied
item_only_00001,00001,item_only,Item Shift Only,15,3,1,post,j,3.794431300000724,True,0.9534883720930233,2,Objects/081a.jpg,Objects,81,studied
item_only_00001,00001,item_only,Item Shift Only,16,3,2,mid,f,1.5089413999994576,True,0.9534883720930233,2,Objects/021a.jpg,Objects,21,studied
item_only_00001,00001,item_only,Item Shift Only,17,3,3,mid,f,5.682629799997812,True,0.9534883720930233,3,Objects/113a.jpg,Objects,113,studied
item_only_00001,00001,item_only,Item Shift Only,18,3,4,mid,f,1.6052970999990066,True,0.9534883720930233,3,Objects/049a.jpg,Objects,49,studied
item_only_00001,00001,item_only,Item Shift Only,19,3,5,mid,f,1.81760740000027,True,0.9534883720930233,3,Objects/072a.jpg,Objects,72,studied
item_only_00001,00001,item_only,Item Shift Only,20,3,6,mid,j,1.262332799997239,True,0.9534883720930233,2,Objects/126a.jpg,Objects,126,studied
item_only_00001,00001,item_only,Item Shift Only,21,3,7,pre,j,2.4701246000004176,True,0.9534883720930233,5,Objects/110a.jpg,Objects,110,studied
item_only_00001,00001,item_only,Item Shift Only,22,4,1,post,j,1.3302889999977197,True,0.9534883720930233,1,Scenes/030a.jpg,Scenes,30,studied
item_only_00001,00001,item_only,Item Shift Only,23,4,2,mid,j,1.4637880000009318,True,0.9534883720930233,5,Scenes/095a.jpg,Scenes,95,studied
item_only_00001,00001,item_only,Item Shift Only,24,4,3,mid,f,7.849598799999512,True,0.9534883720930233,5,Scenes/167a.jpg,Scenes,167,studied
item_only_00001,00001,item_only,Item Shift Only,25,4,4,mid,j,1.6049880999999004,True,0.9534883720930233,1,Scenes/008a.jpg,Scenes,8,studied
item_only_00001,00001,item_only,Item Shift Only,26,4,5,mid,j,0.9976714000003994,True,0.9534883720930233,4,Scenes/117a.jpg,Scenes,117,studied
item_only_00001,00001,item_only,Item Shift Only,27,4,6,mid,j,1.0004298999992898,True,0.9534883720930233,5,Scenes/121a.jpg,Scenes,121,studied
item_only_00001,00001,item_only,Item Shift Only,28,4,7,pre,j,0.8727509000018472,True,0.9534883720930233,4,Scenes/160a.jpg,Scenes,160,studied
item_only_00001,00001,item_only,Item Shift Only,29,5,1,post,f,0.9328329999989364,True,0.9534883720930233,1,Objects/130a.jpg,Objects,130,studied
item_only_00001,00001,item_only,Item Shift Only,30,5,2,mid,f,0.8080506000005698,True,0.9534883720930233,3,Objects/023a.jpg,Objects,23,studied
item_only_00001,00001,item_only,Item Shift Only,31,5,3,mid,f,0.9897055000001274,True,0.9534883720930233,4,Objects/145a.jpg,Objects,145,studied
item_only_00001,00001,item_only,Item Shift Only,32,5,4,mid,f,0.8928503999995883,True,0.9534883720930233,3,Objects/153a.jpg,Objects,153,studied
item_only_00001,00001,item_only,Item Shift Only,33,5,5,mid,f,1.8041549000008672,True,0.9534883720930233,1,Objects/075a.jpg,Objects,75,studied
item_only_00001,00001,item_only,Item Shift Only,34,5,6,mid,f,1.4986992000012833,True,0.9534883720930233,4,Objects/043a.jpg,Objects,43,studied
item_only_00001,00001,item_only,Item Shift Only,35,5,7,pre,j,6.131398000001354,True,0.9534883720930233,4,Objects/018a.jpg,Objects,18,studied
item_only_00001,00001,item_only,Item Shift Only,36,6,1,post,j,2.883709599998838,True,0.9534883720930233,5,Scenes/114a.jpg,Scenes,114,studied
item_only_00001,00001,item_only,Item Shift Only,37,6,2,mid,j,1.8739007000003767,True,0.9534883720930233,2,Scenes/112a.jpg,Scenes,112,studied
item_only_00001,00001,item_only,Item Shift Only,38,6,3,mid,j,1.1172250999989046,True,0.9534883720930233,4,Scenes/091a.jpg,Scenes,91,studied
item_only_00001,00001,item_only,Item Shift Only,39,6,4,mid,j,1.0177464000007603,True,0.9534883720930233,1,Scenes/029a.jpg,Scenes,29,studied
item_only_00001,00001,item_only,Item Shift Only,40,6,5,mid,j,1.1153731999984302,True,0.9534883720930233,2,Scenes/110a.jpg,Scenes,110,studied
item_only_00001,00001,item_only,Item Shift Only,41,6,6,mid,j,1.1987786999998207,True,0.9534883720930233,4,Scenes/146a.jpg,Scenes,146,studied
item_only_00001,00001,item_only,Item Shift Only,42,6,7,pre,j,0.9822594999968715,True,0.9534883720930233,2,Scenes/041a.jpg,Scenes,41,studied
item_only_00001,00001,item_only,Item Shift Only,43,7,1,post,f,1.5298012999992352,True,0.9534883720930233,4,Objects/058a.jpg,Objects,58,studied
item_only_00001,00001,item_only,Item Shift Only,44,7,2,mid,f,0.8197465999983251,True,0.9534883720930233,3,Objects/190a.jpg,Objects,190,studied
item_only_00001,00001,item_only,Item Shift Only,45,7,3,mid,f,2.15349470000001,True,0.9534883720930233,5,Objects/160a.jpg,Objects,160,studied
item_only_00001,00001,item_only,Item Shift Only,46,7,4,mid,f,1.4843885000009323,True,0.9534883720930233,2,Objects/063a.jpg,Objects,63,studied
item_only_00001,00001,item_only,Item Shift Only,47,7,5,mid,f,3.754043900000397,True,0.9534883720930233,4,Objects/036a.jpg,Objects,36,studied
item_only_00001,00001,item_only,Item Shift Only,48,7,6,mid,f,4.030703699998412,True,0.9534883720930233,2,Objects/020a.jpg,Objects,20,studied
item_only_00001,00001,item_only,Item Shift Only,49,7,7,pre,f,0.8945951999994577,True,0.9534883720930233,1,Objects/057a.jpg,Objects,57,studied
item_only_00001,00001,item_only,Item Shift Only,50,8,1,post,j,0.7977169000005233,True,0.9534883720930233,1,Scenes/026a.jpg,Scenes,26,studied
item_only_00001,00001,item_only,Item Shift Only,51,8,2,mid,j,1.1139961000008043,True,0.9534883720930233,4,Scenes/177a.jpg,Scenes,177,studied
item_only_00001,00001,item_only,Item Shift Only,52,8,3,mid,j,0.719794799999363,True,0.9534883720930233,5,Scenes/169a.jpg,Scenes,169,studied
item_only_00001,00001,item_only,Item Shift Only,53,8,4,mid,j,0.9259560999998939,True,0.9534883720930233,3,Scenes/088a.jpg,Scenes,88,studied
item_only_00001,00001,item_only,Item Shift Only,54,8,5,mid,j,0.9038989000000583,True,0.9534883720930233,5,Scenes/127a.jpg,Scenes,127,studied
item_only_00001,00001,item_only,Item Shift Only,55,8,6,mid,j,5.022681700000248,True,0.9534883720930233,1,Scenes/044a.jpg,Scenes,44,studied
item_only_00001,00001,item_only,Item Shift Only,56,8,7,pre,j,0.7299721000017598,True,0.9534883720930233,2,Scenes/133a.jpg,Scenes,133,studied
