participant_uid,condition,condition_label,test_boundary_position,lure_bin,similar_response
both_00015,both,Item + Task Shift,post,1,0.4
both_00015,both,Item + Task Shift,post,2,0.42857142857142855
both_00015,both,Item + Task Shift,post,3,0.3333333333333333
both_00015,both,Item + Task Shift,post,4,0.6666666666666666
both_00015,both,Item + Task Shift,post,5,1.0
both_00015,both,Item + Task Shift,mid,1,1.0
both_00015,both,Item + Task Shift,mid,2,0.0
both_00015,both,Item + Task Shift,mid,3,0.0
both_00015,both,Item + Task Shift,mid,4,0.5714285714285714
both_00015,both,Item + Task Shift,mid,5,0.3333333333333333
both_00015,both,Item + Task Shift,pre,1,0.5
both_00015,both,Item + Task Shift,pre,2,0.16666666666666666
both_00015,both,Item + Task Shift,pre,3,0.0
both_00015,both,Item + Task Shift,pre,4,0.4
both_00015,both,Item + Task Shift,pre,5,0.25
both_00016,both,Item + Task Shift,post,1,0.6666666666666666
both_00016,both,Item + Task Shift,post,2,0.3333333333333333
both_00016,both,Item + Task Shift,post,3,1.0
both_00016,both,Item + Task Shift,post,4,0.75
both_00016,both,Item + Task Shift,post,5,0.6666666666666666
both_00016,both,Item + Task Shift,mid,1,1.0
both_00016,both,Item + Task Shift,mid,2,0.6666666666666666
both_00016,both,Item + Task Shift,mid,3,0.6666666666666666
both_00016,both,Item + Task Shift,mid,4,1.0
both_00016,both,Item + Task Shift,mid,5,0.75
both_00016,both,Item + Task Shift,pre,1,0.3333333333333333
both_00016,both,Item + Task Shift,pre,2,0.5
both_00016,both,Item + Task Shift,pre,3,0.2
both_00016,both,Item + Task Shift,pre,4,1.0
both_00016,both,Item + Task Shift,pre,5,1.0
both_00017,both,Item + Task Shift,post,1,0.5
both_00017,both,Item + Task Shift,post,2,1.0
both_00017,both,Item + Task Shift,post,3,0.6
both_00017,both,Item + Task Shift,post,4,0.6666666666666666
both_00017,both,Item + Task Shift,post,5,0.6666666666666666
both_00017,both,Item + Task Shift,mid,1,0.6
both_00017,both,Item + Task Shift,mid,2,0.5
both_00017,both,Item + Task Shift,mid,3,0.6666666666666666
both_00017,both,Item + Task Shift,mid,4,0.3333333333333333
both_00017,both,Item + Task Shift,mid,5,0.6
both_00017,both,Item + Task Shift,pre,1,0.3333333333333333
both_00017,both,Item + Task Shift,pre,2,0.6666666666666666
both_00017,both,Item + Task Shift,pre,3,0.5
both_00017,both,Item + Task Shift,pre,4,0.6666666666666666
both_00017,both,Item + Task Shift,pre,5,0.25
both_00018,both,Item + Task Shift,post,1,0.6666666666666666
both_00018,both,Item + Task Shift,post,2,0.0
both_00018,both,Item + Task Shift,post,3,0.6
both_00018,both,Item + Task Shift,post,4,0.5
both_00018,both,Item + Task Shift,post,5,1.0
both_00018,both,Item + Task Shift,mid,1,0.3333333333333333
both_00018,both,Item + Task Shift,mid,2,0.0
both_00018,both,Item + Task Shift,mid,3,0.3333333333333333
both_00018,both,Item + Task Shift,mid,4,0.25
both_00018,both,Item + Task Shift,mid,5,0.5
both_00018,both,Item + Task Shift,pre,1,0.0
both_00018,both,Item + Task Shift,pre,2,1.0
both_00018,both,Item + Task Shift,pre,3,0.2
both_00018,both,Item + Task Shift,pre,4,0.5
both_00018,both,Item + Task Shift,pre,5,0.5
both_00019,both,Item + Task Shift,post,1,0.0
both_00019,both,Item + Task Shift,post,2,0.5
both_00019,both,Item + Task Shift,post,3,0.4
both_00019,both,Item + Task Shift,post,4,0.3333333333333333
both_00019,both,Item + Task Shift,post,5,0.42857142857142855
both_00019,both,Item + Task Shift,mid,1,0.0
both_00019,both,Item + Task Shift,mid,2,0.16666666666666666
both_00019,both,Item + Task Shift,mid,3,0.0
both_00019,both,Item + Task Shift,mid,4,0.2
both_00019,both,Item + Task Shift,mid,5,0.6
both_00019,both,Item + Task Shift,pre,1,0.6666666666666666
both_00019,both,Item + Task Shift,pre,2,0.2
both_00019,both,Item + Task Shift,pre,3,0.5
both_00019,both,Item + Task Shift,pre,4,0.4
both_00019,both,Item + Task Shift,pre,5,0.3333333333333333
both_00020,both,Item + Task Shift,post,1,0.5714285714285714
both_00020,both,Item + Task Shift,post,2,0.5
both_00020,both,Item + Task Shift,post,3,0.5
both_00020,both,Item + Task Shift,post,5,0.6666666666666666
both_00020,both,Item + Task Shift,mid,1,0.16666666666666666
both_00020,both,Item + Task Shift,mid,2,0.6666666666666666
both_00020,both,Item + Task Shift,mid,3,1.0
both_00020,both,Item + Task Shift,mid,4,0.75
both_00020,both,Item + Task Shift,mid,5,0.75
both_00020,both,Item + Task Shift,pre,1,1.0
both_00020,both,Item + Task Shift,pre,2,0.25
both_00020,both,Item + Task Shift,pre,3,0.5
both_00020,both,Item + Task Shift,pre,4,0.7142857142857143
both_00020,both,Item + Task Shift,pre,5,0.6666666666666666
both_00022,both,Item + Task Shift,post,2,0.2
both_00022,both,Item + Task Shift,post,3,0.2857142857142857
both_00022,both,Item + Task Shift,post,4,0.25
both_00022,both,Item + Task Shift,post,5,0.25
both_00022,both,Item + Task Shift,mid,1,0.0
both_00022,both,Item + Task Shift,mid,2,0.3333333333333333
both_00022,both,Item + Task Shift,mid,3,0.5
both_00022,both,Item + Task Shift,mid,4,0.3333333333333333
both_00022,both,Item + Task Shift,mid,5,0.3333333333333333
both_00022,both,Item + Task Shift,pre,1,0.3333333333333333
both_00022,both,Item + Task Shift,pre,2,0.6666666666666666
both_00022,both,Item + Task Shift,pre,3,0.5
both_00022,both,Item + Task Shift,pre,4,0.2
both_00022,both,Item + Task Shift,pre,5,0.0
both_00024,both,Item + Task Shift,post,1,0.16666666666666666
both_00024,both,Item + Task Shift,post,2,1.0
both_00024,both,Item + Task Shift,post,3,0.0
both_00024,both,Item + Task Shift,post,4,0.3333333333333333
both_00024,both,Item + Task Shift,post,5,0.3333333333333333
both_00024,both,Item + Task Shift,mid,1,0.3333333333333333
both_00024,both,Item + Task Shift,mid,3,0.2857142857142857
both_00024,both,Item + Task Shift,mid,4,0.5
both_00024,both,Item + Task Shift,mid,5,0.75
both_00024,both,Item + Task Shift,pre,1,0.4
both_00024,both,Item + Task Shift,pre,2,0.5
