condition,condition_label,metric,boundary_position,mean,std,median
item_only,Item Shift Only,LDI,mid,0.3297619047619048,0.18817878576304878,0.33333333333333337
item_only,Item Shift Only,LDI,post,0.3136904761904762,0.17224328410056783,0.31666666666666665
item_only,Item Shift Only,LDI,pre,0.3136904761904762,0.213203254444269,0.3083333333333333
item_only,Item Shift Only,REC,mid,0.6398809523809524,0.17805567655602544,0.65
item_only,Item Shift Only,REC,post,0.6345238095238095,0.18810208766091718,0.6583333333333333
item_only,Item Shift Only,REC,pre,0.6273809523809524,0.15719859958472818,0.65
both,Item + Task Shift,LDI,mid,0.29183673469387755,0.22077101974554092,0.2666666666666667
both,Item + Task Shift,LDI,post,0.25816326530612244,0.18751921040415337,0.2666666666666667
both,Item + Task Shift,LDI,pre,0.2612244897959184,0.1859157688079707,0.26666666666666666
both,Item + Task Shift,REC,mid,0.6340136054421769,0.1711534664279248,0.65
both,Item + Task Shift,REC,post,0.5605442176870749,0.16179311626782927,0.55
both,Item + Task Shift,REC,pre,0.6115646258503402,0.15283600209837658,0.6
task_only,Task Shift Only,LDI,mid,0.3685534591194969,0.18026749999091718,0.35000000000000003
task_only,Task Shift Only,LDI,post,0.3855345911949686,0.22882638456238308,0.35000000000000003
task_only,Task Shift Only,LDI,pre,0.38742138364779877,0.20461830372111586,0.35000000000000003
task_only,Task Shift Only,REC,mid,0.60062893081761,0.18289464601259978,0.6166666666666667
task_only,Task Shift Only,REC,post,0.5628930817610063,0.20435016634543163,0.6166666666666667
task_only,Task Shift Only,REC,pre,0.6242138364779874,0.1948472456082187,0.65
