participant_uid,condition,mean_encoding_rt_post,mean_target_correctness_post
both_00015,both,2.187874809999994,0.85
both_00016,both,1.6379847300004258,0.6
both_00017,both,2.4593353512820513,0.65
both_00018,both,1.372192774999712,0.7
both_00019,both,2.055579190001663,0.5
both_00020,both,1.7442143424992538,0.45
both_00022,both,2.073115735000002,0.5
both_00024,both,1.5830401250000024,0.9
both_00025,both,1.4264962675002153,0.6
both_00026,both,1.6601583900002879,0.35
both_00027,both,1.493527010000001,0.85
both_00028,both,1.5698373875000926,0.5
both_00029,both,2.0607043874996633,0.55
both_00030,both,2.8271550435898134,0.3
both_00031,both,1.9210138725014985,0.65
both_00032,both,2.1706283124996846,0.7
both_00033,both,2.479972254999848,0.65
both_00034,both,2.4501135874998,0.35
both_00036,both,1.5148547024989967,0.7
both_00037,both,2.6840385250005054,0.75
both_00038,both,1.3704811461562387,0.45
both_00039,both,1.6254423924998265,0.85
both_00040,both,1.6614669250004226,0.75
both_00041,both,1.967582187500011,0.4
both_00042,both,2.3358740824996858,0.3
both_00043,both,2.621974282500014,0.4
both_00044,both,1.8377961199999846,0.7
both_00045,both,1.9086332794865415,0.75
both_00046,both,1.5975295450014528,0.65
both_00047,both,1.703694400000677,0.65
both_00049,both,1.906735854994622,0.45
both_00050,both,1.6232720899948618,0.65
both_00051,both,1.8034938350101584,0.55
both_00052,both,2.283999137498904,0.9
both_00053,both,1.7362925424953572,0.6
both_00054,both,1.6830559550027828,0.8
both_00055,both,1.6907081549998566,0.55
both_00056,both,1.5835051199945156,0.6
both_00057,both,1.6409695675001785,0.6
both_00058,both,4.3008669124959855,0.5
both_00059,both,1.5561537074972875,0.65
both_00060,both,1.2644905850000001,0.5
both_00061,both,1.7861661925038788,0.55
both_00062,both,2.2204410175007068,0.7
both_00063,both,1.8754449499989279,0.6
both_00064,both,1.607176547498966,0.35
both_00065,both,2.277020110009471,0.45
both_00066,both,1.231516640004702,0.85
both_00067,both,2.1187793950011837,0.85
item_only_00001,item_only,1.3224775649995535,0.75
item_only_00002,item_only,2.7023204549998807,0.55
item_only_00003,item_only,1.920844484999907,0.5
item_only_00004,item_only,1.5919575250001798,0.75
item_only_00005,item_only,1.174885264999466,0.65
item_only_00006,item_only,1.3155591624999943,0.7
item_only_00007,item_only,3.806036775001121,0.75
item_only_00008,item_only,2.7990313974999994,0.9
item_only_00009,item_only,1.6780096275000687,0.4
item_only_00010,item_only,1.363470854999997,0.75
