participant_uid,condition,post_correctness,mid_correctness,pre_correctness,post_minus_mid,post_minus_pre
both_00015,both,0.85,0.65,0.65,0.19999999999999996,0.19999999999999996
both_00016,both,0.6,0.8,0.75,-0.20000000000000007,-0.15000000000000002
both_00017,both,0.65,0.5,0.55,0.15000000000000002,0.09999999999999998
both_00018,both,0.7,0.8,0.8,-0.10000000000000009,-0.10000000000000009
both_00019,both,0.5,0.55,0.5,-0.050000000000000044,0.0
both_00020,both,0.45,0.25,0.45,0.2,0.0
both_00022,both,0.5,0.85,0.55,-0.35,-0.050000000000000044
both_00024,both,0.9,0.9,0.8,0.0,0.09999999999999998
both_00025,both,0.6,0.8,0.55,-0.20000000000000007,0.04999999999999993
both_00026,both,0.35,0.55,0.6,-0.20000000000000007,-0.25
both_00027,both,0.85,0.8,0.9,0.04999999999999993,-0.050000000000000044
both_00028,both,0.5,0.65,0.6,-0.15000000000000002,-0.09999999999999998
both_00029,both,0.55,0.65,0.6,-0.09999999999999998,-0.04999999999999993
both_00030,both,0.3,0.4,0.4,-0.10000000000000003,-0.10000000000000003
both_00031,both,0.65,0.55,0.7,0.09999999999999998,-0.04999999999999993
both_00032,both,0.7,0.9,0.8,-0.20000000000000007,-0.10000000000000009
both_00033,both,0.65,0.7,0.45,-0.04999999999999993,0.2
both_00034,both,0.35,0.55,0.65,-0.20000000000000007,-0.30000000000000004
both_00036,both,0.7,0.65,0.55,0.04999999999999993,0.1499999999999999
both_00037,both,0.75,0.85,0.95,-0.09999999999999998,-0.19999999999999996
both_00038,both,0.45,0.4,0.45,0.04999999999999999,0.0
both_00039,both,0.85,0.85,0.8,0.0,0.04999999999999993
both_00040,both,0.75,0.9,0.65,-0.15000000000000002,0.09999999999999998
both_00041,both,0.4,0.3,0.7,0.10000000000000003,-0.29999999999999993
both_00042,both,0.3,0.65,0.65,-0.35000000000000003,-0.35000000000000003
both_00043,both,0.4,0.6,0.55,-0.19999999999999996,-0.15000000000000002
both_00044,both,0.7,0.95,0.9,-0.25,-0.20000000000000007
both_00045,both,0.75,0.5,0.55,0.25,0.19999999999999996
both_00046,both,0.65,0.8,0.75,-0.15000000000000002,-0.09999999999999998
both_00047,both,0.65,0.7,0.6,-0.04999999999999993,0.050000000000000044
both_00049,both,0.45,0.4,0.45,0.04999999999999999,0.0
