term,coef,std_err,z,p_value,odds_ratio,ci_low_or,ci_high_or,analysis_family
Intercept,0.8346033900142305,0.0854687721076546,9.765009715630198,1.5909675870227138e-22,2.3039001172691838,1.9485482276993777,2.724056646326883,primary_correctness
C(condition)[T.both],-0.2248681984321848,0.09718464330867398,-2.313824394230346,0.02067735668773255,0.7986214713850136,0.660109136487675,0.9661981925455024,primary_correctness
C(condition)[T.task_only],-0.17392806005485825,0.11743738473303607,-1.4810280427330642,0.1385991009355456,0.8403573507456216,0.6675737992589101,1.05786128475409,primary_correctness
C(test_boundary_position)[T.mid],0.04712550301177432,0.06306029213608118,0.7473086694568378,0.45487726054548683,1.0482535598033353,0.9263782322536945,1.1861629379687777,primary_correctness
C(test_boundary_position)[T.pre],-0.016240944189066013,0.06295562698924204,-0.25797446496468524,0.7964266143720395,0.9838902288602366,0.8696765021526929,1.1131035276341015,primary_correctness
C(test_boundary_position)[T.foil],-2.6782915138037505e-16,,,,0.9999999999999998,,,primary_correctness
C(item_role)[T.lure],-0.5441399803089393,0.07017729211060128,-7.753789921836257,8.918983087611815e-15,0.5803406731880153,0.5057628108545408,0.6659155037264737,primary_correctness
C(item_role)[T.foil],-2.563387278482396e-17,8.354906734087755e-18,-3.0681219552384196,0.0021540868865742545,1.0,1.0,1.0,primary_correctness
C(stimulus_class)[T.Scenes],-0.4147925315794775,0.0452469884073591,-9.16729590586441,4.850329488522398e-20,0.6604772946725724,0.60442563902598,0.7217269232340583,primary_correctness
C(condition)[T.both]:C(test_boundary_position)[T.mid],0.1670871279418156,0.09129908483250095,1.8301073690755703,0.06723388524753234,1.1818572336108726,0.9882109633893772,1.4134497312675327,primary_correctness
C(condition)[T.task_only]:C(test_boundary_position)[T.mid],-0.0020324415066020787,0.08857576244324382,-0.022945797479354407,0.9816935088939605,0.9979696225040731,0.8389191550191304,1.1871744273358626,primary_correctness
C(condition)[T.both]:C(test_boundary_position)[T.pre],0.12988441123581154,0.0932885532684533,1.3922866920451387,0.16383559976864692,1.1386967551666851,0.9484168547546781,1.3671523167547779,primary_correctness
C(condition)[T.task_only]:C(test_boundary_position)[T.pre],0.15096953684585968,0.08319207491628389,1.8147105598433528,0.06956840139632188,1.1629612300749876,0.9879858235309895,1.3689253331832911,primary_correctness
C(condition)[T.both]:C(test_boundary_position)[T.foil],0.0,0.0,,,1.0,1.0,1.0,primary_correctness
C(condition)[T.task_only]:C(test_boundary_position)[T.foil],0.0,0.0,,,1.0,1.0,1.0,primary_correctness
lure_bin_c,0.08273941274378734,0.011585088677407963,7.141888599017558,9.205719546076429e-13,1.0862587064875848,1.0618712043261103,1.111206305070596,primary_correctness
