term,coef,std_err,z,p_value,ratio_change_rt,ci_low_ratio,ci_high_ratio,analysis_family,model_used
Intercept,0.7311541676373481,0.042298927145634484,17.285406911622054,6.059224859140961e-67,2.0774769811987555,1.912188256762086,2.257053191362464,primary_rt,gee_gaussian::log_response_rt ~ C(condition)*C(test_boundary_position)+C(item_role)+correct_int
C(condition)[T.both],-0.10034640031355246,0.05797181218373834,-1.730951587221567,0.08346039955380839,0.9045240363515284,0.8073716755884649,1.013366900370056,primary_rt,gee_gaussian::log_response_rt ~ C(condition)*C(test_boundary_position)+C(item_role)+correct_int
C(condition)[T.task_only],-0.12736580232706285,0.05124003782752323,-2.485669560896561,0.012930797005712992,0.8804115570890914,0.7962864656027803,0.9734241925979208,primary_rt,gee_gaussian::log_response_rt ~ C(condition)*C(test_boundary_position)+C(item_role)+correct_int
C(test_boundary_position)[T.mid],0.005547620533447238,0.019283234928490583,0.2876913834229517,0.7735829863428163,1.0055630370754294,0.9682668870671586,1.0442957773709636,primary_rt,gee_gaussian::log_response_rt ~ C(condition)*C(test_boundary_position)+C(item_role)+correct_int
C(test_boundary_position)[T.pre],-0.01700622049200985,0.01823816353783744,-0.9324524619339132,0.35110274334955094,0.983137569016496,0.9486142713318951,1.0189172868489258,primary_rt,gee_gaussian::log_response_rt ~ C(condition)*C(test_boundary_position)+C(item_role)+correct_int
C(item_role)[T.lure],0.09950387825704976,0.010015539287937334,9.934949621423954,2.933241857629052e-23,1.1046227547426317,1.0831499552329016,1.1265212396494368,primary_rt,gee_gaussian::log_response_rt ~ C(condition)*C(test_boundary_position)+C(item_role)+correct_int
C(condition)[T.both]:C(test_boundary_position)[T.mid],-0.013198260937351646,0.023865993045593805,-0.553015368442351,0.5802528866127483,0.9868884541930066,0.9417875060378416,1.0341492266306709,primary_rt,gee_gaussian::log_response_rt ~ C(condition)*C(test_boundary_position)+C(item_role)+correct_int
C(condition)[T.task_only]:C(test_boundary_position)[T.mid],0.0027354279034528246,0.02487382409204942,0.10997214957096875,0.9124314623427578,1.002739172600031,0.9550254713208165,1.0528366818070212,primary_rt,gee_gaussian::log_response_rt ~ C(condition)*C(test_boundary_position)+C(item_role)+correct_int
C(condition)[T.both]:C(test_boundary_position)[T.pre],0.005471297663072724,0.024173765167579183,0.22633204323547387,0.820943178026775,1.005486292546816,0.9589567712042908,1.0542734718165545,primary_rt,gee_gaussian::log_response_rt ~ C(condition)*C(test_boundary_position)+C(item_role)+correct_int
C(condition)[T.task_only]:C(test_boundary_position)[T.pre],-0.005549268273160544,0.024116418646615765,-0.23010333144715364,0.8180114762283093,0.9944661004744472,0.9485531561754769,1.0426013751093364,primary_rt,gee_gaussian::log_response_rt ~ C(condition)*C(test_boundary_position)+C(item_role)+correct_int
correct_int,-0.08111557276631529,0.010386924986237668,-7.809392372987263,5.746434454349925e-15,0.9220871171272723,0.9035047191830229,0.9410516995870277,primary_rt,gee_gaussian::log_response_rt ~ C(condition)*C(test_boundary_position)+C(item_role)+correct_int
