term,coef,std_err,z,p_value,ratio_change_rt,ci_low_ratio,ci_high_ratio,analysis_family,model_used
Intercept,0.7311542180915708,0.042298941276879956,17.28540232970819,6.059706365873436e-67,2.0774770860162444,1.9121883002777196,2.257053367754482,primary_rt,gee_gaussian::log_response_rt ~ C(condition)*C(test_boundary_position)+C(item_role)+correct_int
C(condition)[T.both],-0.10034640453224863,0.05797181268424748,-1.73095164504862,0.08346038923912336,0.9045240325356163,0.8073716713903792,1.0133668970890797,primary_rt,gee_gaussian::log_response_rt ~ C(condition)*C(test_boundary_position)+C(item_role)+correct_int
C(condition)[T.task_only],-0.1273658023127092,0.05124003769959835,-2.48566956682211,0.01293079679042843,0.8804115571017285,0.7962864658138651,0.9734241923678236,primary_rt,gee_gaussian::log_response_rt ~ C(condition)*C(test_boundary_position)+C(item_role)+correct_int
C(test_boundary_position)[T.mid],0.005547621363354534,0.01928323464775639,0.2876914306490587,0.7735829501893681,1.0055630379099536,0.9682668884035086,1.04429577766302,primary_rt,gee_gaussian::log_response_rt ~ C(condition)*C(test_boundary_position)+C(item_role)+correct_int
C(test_boundary_position)[T.pre],-0.017006220768645677,0.018238163335018716,-0.9324524874712788,0.3511027301574592,0.9831375687445248,0.9486142714465721,1.018917286162012,primary_rt,gee_gaussian::log_response_rt ~ C(condition)*C(test_boundary_position)+C(item_role)+correct_int
C(test_boundary_position)[T.foil],3.661526138159642e-17,2.618266446073699e-17,1.3984543642036107,0.16197666768192376,1.0,1.0,1.0,primary_rt,gee_gaussian::log_response_rt ~ C(condition)*C(test_boundary_position)+C(item_role)+correct_int
C(item_role)[T.lure],0.09950386822345844,0.010015538348573756,9.93494955142657,2.933243917733605e-23,1.1046227436592986,1.083149946359262,1.1265212262722857,primary_rt,gee_gaussian::log_response_rt ~ C(condition)*C(test_boundary_position)+C(item_role)+correct_int
C(item_role)[T.foil],5.554323798216477e-18,,,,1.0,,,primary_rt,gee_gaussian::log_response_rt ~ C(condition)*C(test_boundary_position)+C(item_role)+correct_int
C(condition)[T.both]:C(test_boundary_position)[T.mid],-0.013198257617722241,0.023865993340668166,-0.5530152225104381,0.5802529865393419,0.9868884574691106,0.9417875086195482,1.034149230661759,primary_rt,gee_gaussian::log_response_rt ~ C(condition)*C(test_boundary_position)+C(item_role)+correct_int
C(condition)[T.task_only]:C(test_boundary_position)[T.mid],0.002735427877355057,0.024873824107060804,0.10997214845539433,0.9124314632274914,1.0027391725738617,0.9550254712677934,1.0528366818105213,primary_rt,gee_gaussian::log_response_rt ~ C(condition)*C(test_boundary_position)+C(item_role)+correct_int
C(condition)[T.both]:C(test_boundary_position)[T.pre],0.005471300034236683,0.024173765295215647,0.22633214012876746,0.820943102672109,1.0054862949309888,0.9589567732382348,1.0542734745801547,primary_rt,gee_gaussian::log_response_rt ~ C(condition)*C(test_boundary_position)+C(item_role)+correct_int
C(condition)[T.task_only]:C(test_boundary_position)[T.pre],-0.0055492655485590466,0.024116418951070452,-0.23010321556520863,0.8180115662730663,0.994466103183971,0.948553158193875,1.0426013785721624,primary_rt,gee_gaussian::log_response_rt ~ C(condition)*C(test_boundary_position)+C(item_role)+correct_int
C(condition)[T.both]:C(test_boundary_position)[T.foil],0.0,0.0,,,1.0,1.0,1.0,primary_rt,gee_gaussian::log_response_rt ~ C(condition)*C(test_boundary_position)+C(item_role)+correct_int
C(condition)[T.task_only]:C(test_boundary_position)[T.foil],0.0,0.0,,,1.0,1.0,1.0,primary_rt,gee_gaussian::log_response_rt ~ C(condition)*C(test_boundary_position)+C(item_role)+correct_int
correct_int,-0.0811156502243332,0.010386921167859685,-7.809402701093936,5.745963618707408e-15,0.9220870457042346,0.9035046559611886,0.9410516196521812,primary_rt,gee_gaussian::log_response_rt ~ C(condition)*C(test_boundary_position)+C(item_role)+correct_int
