term,coef,std_err,z,p_value,odds_ratio,analysis_family,item_role_split
Intercept,0.9486625651300317,0.11537490382810336,8.222434287299086,1.9941356997814475e-16,2.5822537525940827,robustness_correctness_split,target
C(condition)[T.both],-0.27995974744102714,0.14803035935229392,-1.8912319652940761,0.0585933860693867,0.7558141642976437,robustness_correctness_split,target
C(condition)[T.task_only],-0.5667279544320619,0.16022476886852755,-3.5370808048853584,0.00040457586521642537,0.5673788943468235,robustness_correctness_split,target
C(test_boundary_position)[T.mid],0.010863137480980002,0.09742863531598964,0.11149840543026865,0.9112211299990755,1.0109223555961973,robustness_correctness_split,target
C(test_boundary_position)[T.pre],-0.03993829558299658,0.08308839059241614,-0.4806723935586969,0.6307493546516525,0.9608487259336385,robustness_correctness_split,target
C(test_boundary_position)[T.foil],6.1220049053197405e-16,1.9936336831189183e-16,3.0707772230965906,0.002135023843408578,1.0000000000000007,robustness_correctness_split,target
C(stimulus_class)[T.Scenes],-0.4547915028132714,0.06738391477246988,-6.749259142169628,1.4860197118857374e-11,0.6345802623556976,robustness_correctness_split,target
C(condition)[T.both]:C(test_boundary_position)[T.mid],0.2977096693005243,0.13589773592218604,2.1906889565179397,0.028474308798960388,1.346770722227301,robustness_correctness_split,target
C(condition)[T.task_only]:C(test_boundary_position)[T.mid],0.1483332250823688,0.13083130092608303,1.1337747468105817,0.25688904645608734,1.1598993395260737,robustness_correctness_split,target
C(condition)[T.both]:C(test_boundary_position)[T.pre],0.26226300351271736,0.11881830567609314,2.207260926844592,0.027295835398937783,1.299868367423527,robustness_correctness_split,target
C(condition)[T.task_only]:C(test_boundary_position)[T.pre],0.30201817686732657,0.12733698948555616,2.37180239683289,0.017701554872682133,1.3525858122588947,robustness_correctness_split,target
C(condition)[T.both]:C(test_boundary_position)[T.foil],0.0,0.0,,,1.0,robustness_correctness_split,target
C(condition)[T.task_only]:C(test_boundary_position)[T.foil],0.0,0.0,,,1.0,robustness_correctness_split,target
Intercept,0.20454445753680886,0.0955534374272107,2.1406289825274336,0.032303969651582144,1.2269660025194649,robustness_correctness_split,lure
C(condition)[T.both],-0.18164369171957792,0.13154195547316308,-1.3808802755455196,0.16731577559740518,0.833898412397357,robustness_correctness_split,lure
C(condition)[T.task_only],0.1179255029298911,0.1464262980417838,0.8053574016891433,0.4206134661707419,1.1251602871002582,robustness_correctness_split,lure
C(test_boundary_position)[T.mid],0.0889247043392848,0.084575954980295,1.0514182708312663,0.293066527986135,1.092998355194595,robustness_correctness_split,lure
C(test_boundary_position)[T.pre],0.009809680658620064,0.09209808821998335,0.10651340161577393,0.9151750229443516,1.009857953293189,robustness_correctness_split,lure
C(test_boundary_position)[T.foil],-4.932701748189487e-17,,,,1.0,robustness_correctness_split,lure
C(stimulus_class)[T.Scenes],-0.39017527217382375,0.06560344019783497,-5.947481885053647,2.7229889025406526e-09,0.6769382156670685,robustness_correctness_split,lure
C(condition)[T.both]:C(test_boundary_position)[T.mid],0.022412413782214004,0.1254358467444144,0.1786763063662423,0.8581918745553946,1.022665458842121,robustness_correctness_split,lure
C(condition)[T.task_only]:C(test_boundary_position)[T.mid],-0.1584279085756529,0.1200175830412604,-1.3200391522731094,0.1868219463954257,0.8534844904857111,robustness_correctness_split,lure
C(condition)[T.both]:C(test_boundary_position)[T.pre],0.009769827589718404,0.12937833012317004,0.07551363184559104,0.9398060518603402,1.0098177081565471,robustness_correctness_split,lure
C(condition)[T.task_only]:C(test_boundary_position)[T.pre],-0.009952571310217508,0.11794870044532028,-0.08438050841290456,0.9327539040439378,0.9900967916291687,robustness_correctness_split,lure
C(condition)[T.both]:C(test_boundary_position)[T.foil],0.0,0.0,,,1.0,robustness_correctness_split,lure
C(condition)[T.task_only]:C(test_boundary_position)[T.foil],0.0,0.0,,,1.0,robustness_correctness_split,lure
lure_bin_c,0.17601984139060547,0.015621552220282105,11.267756168434508,1.8933346298168958e-29,1.1924617185146855,robustness_correctness_split,lure
