term,coef,std_err,z,p_value,ratio_change_rt,ci_low_ratio,ci_high_ratio,analysis_family,model_used
Intercept,0.7021247404764352,0.03865562748857032,18.16358409093318,1.0026031443166145e-73,2.0180359581442064,1.8707879590634178,2.1768737117603782,robustness_rt_outlier_trimmed,gee_gaussian::log_response_rt ~ C(condition)*C(test_boundary_position)+C(item_role)+correct_int
C(condition)[T.both],-0.09371965682526033,0.05128831463252342,-1.8273101289592768,0.06765315315150637,0.9105379895741932,0.8234563357778846,1.0068286494809917,robustness_rt_outlier_trimmed,gee_gaussian::log_response_rt ~ C(condition)*C(test_boundary_position)+C(item_role)+correct_int
C(condition)[T.task_only],-0.09872152211438415,0.04813511466125819,-2.0509252509133566,0.04027422667981115,0.9059949724611942,0.8244272741714764,0.9956328664039716,robustness_rt_outlier_trimmed,gee_gaussian::log_response_rt ~ C(condition)*C(test_boundary_position)+C(item_role)+correct_int
C(test_boundary_position)[T.mid],0.00020887439570191685,0.019626039749972558,0.010642717449005926,0.9915085003644836,1.0002088962114775,0.9624644356140486,1.039433561430578,robustness_rt_outlier_trimmed,gee_gaussian::log_response_rt ~ C(condition)*C(test_boundary_position)+C(item_role)+correct_int
C(test_boundary_position)[T.pre],-0.01747391265118746,0.018813311125315115,-0.9288058085466218,0.35298973368792763,0.9826778707910812,0.9471024551641443,1.019589583447055,robustness_rt_outlier_trimmed,gee_gaussian::log_response_rt ~ C(condition)*C(test_boundary_position)+C(item_role)+correct_int
C(test_boundary_position)[T.foil],7.333277337165368e-18,3.29798898552136e-17,0.22235602876054153,0.8240367389444025,1.0,0.9999999999999999,1.0,robustness_rt_outlier_trimmed,gee_gaussian::log_response_rt ~ C(condition)*C(test_boundary_position)+C(item_role)+correct_int
C(item_role)[T.lure],0.10113087764175561,0.010127787588509308,9.985485651031599,1.764349523769741e-23,1.1064214381165227,1.084675011950059,1.128603853907347,robustness_rt_outlier_trimmed,gee_gaussian::log_response_rt ~ C(condition)*C(test_boundary_position)+C(item_role)+correct_int
C(item_role)[T.foil],1.2258024488558124e-17,2.3190892034053545e-18,5.285706332709592,1.2522064013073959e-07,1.0,1.0,1.0,robustness_rt_outlier_trimmed,gee_gaussian::log_response_rt ~ C(condition)*C(test_boundary_position)+C(item_role)+correct_int
C(condition)[T.both]:C(test_boundary_position)[T.mid],-0.007600421367556355,0.024306874576497377,-0.31268608161187855,0.7545191709723453,0.9924283887989183,0.9462562251087158,1.0408535032684827,robustness_rt_outlier_trimmed,gee_gaussian::log_response_rt ~ C(condition)*C(test_boundary_position)+C(item_role)+correct_int
C(condition)[T.task_only]:C(test_boundary_position)[T.mid],0.00808174941127087,0.025142145967298978,0.32144230734251417,0.7478752261847754,1.0081144949022196,0.959640199764156,1.059037371591691,robustness_rt_outlier_trimmed,gee_gaussian::log_response_rt ~ C(condition)*C(test_boundary_position)+C(item_role)+correct_int
C(condition)[T.both]:C(test_boundary_position)[T.pre],0.0050267660259059625,0.024802769073330823,0.20266954915574295,0.8393933254668771,1.0050394214105791,0.9573495852809528,1.055104900152933,robustness_rt_outlier_trimmed,gee_gaussian::log_response_rt ~ C(condition)*C(test_boundary_position)+C(item_role)+correct_int
C(condition)[T.task_only]:C(test_boundary_position)[T.pre],-0.005058505668761291,0.024548753737992958,-0.2060595712006544,0.8367443785369755,0.9949542670250489,0.948214948982852,1.0439974549370394,robustness_rt_outlier_trimmed,gee_gaussian::log_response_rt ~ C(condition)*C(test_boundary_position)+C(item_role)+correct_int
C(condition)[T.both]:C(test_boundary_position)[T.foil],0.0,0.0,,,1.0,1.0,1.0,robustness_rt_outlier_trimmed,gee_gaussian::log_response_rt ~ C(condition)*C(test_boundary_position)+C(item_role)+correct_int
C(condition)[T.task_only]:C(test_boundary_position)[T.foil],0.0,0.0,,,1.0,1.0,1.0,robustness_rt_outlier_trimmed,gee_gaussian::log_response_rt ~ C(condition)*C(test_boundary_position)+C(item_role)+correct_int
correct_int,-0.08184556297333227,0.010330736286491412,-7.922529498730353,2.327268537425737e-15,0.9214142481855021,0.9029448459661135,0.9402614351830701,robustness_rt_outlier_trimmed,gee_gaussian::log_response_rt ~ C(condition)*C(test_boundary_position)+C(item_role)+correct_int
