term,coef,std_err,z,p_value,odds_ratio,ci_low_or,ci_high_or,analysis_family
Intercept,-0.24573262088981443,0.10733257159694384,-2.289450604170667,0.022053184793249282,0.7821313225471345,0.6337476315899985,0.9652571074302437,secondary_lure_bin
C(test_boundary_position)[T.mid],-0.12991854735766062,0.11009689710022592,-1.180038227956508,0.23798501099196634,0.8781669570265915,0.7077187813519594,1.0896661565772765,secondary_lure_bin
C(test_boundary_position)[T.pre],0.008930634866487108,0.10694347709727929,0.08350799047204636,0.9334476241083998,1.008970631963873,0.8181753670219546,1.2442585993159823,secondary_lure_bin
C(test_boundary_position)[T.foil],-1.109961967008534e-16,,,,0.9999999999999999,,,secondary_lure_bin
C(condition)[T.both],-0.17420790594567154,0.12024628545464706,-1.4487591470039798,0.14740485628044964,0.8401222130968876,0.6637228405622597,1.0634037128222122,secondary_lure_bin
C(condition)[T.task_only],0.06213683336106399,0.12724678062899294,0.48831752798707917,0.6253249479850753,1.0641079402326423,0.8292224233212453,1.3655271210960578,secondary_lure_bin
C(stimulus_class)[T.Scenes],-0.38994705090897047,0.06549387454557133,-5.953946893730362,2.617517706432214e-09,0.6770927249933618,0.5955231327471318,0.7698350123262183,secondary_lure_bin
lure_bin,0.15700887221954035,0.022870102576001413,6.865245649763572,6.637693207792202e-12,1.1700059944049104,1.1187180943355508,1.2236452005869032,secondary_lure_bin
lure_bin:C(test_boundary_position)[T.mid],0.05819645566434852,0.03388151302730986,1.717646305152897,0.08586114880962553,1.0599232031748882,0.9918223108493908,1.1327000656664097,secondary_lure_bin
lure_bin:C(test_boundary_position)[T.pre],0.00015250125392423443,0.0319357077513596,0.0047752583130944385,0.9961899095984489,1.0001525128828317,0.9394680332952385,1.0647568768436055,secondary_lure_bin
lure_bin:C(test_boundary_position)[T.foil],0.0,0.0,,,1.0,1.0,1.0,secondary_lure_bin
