participant_uid,condition,item_role,test_boundary_position,mean_rt_incorrect,mean_rt_correct,delta_rt_incorrect_minus_correct
both_00015,both,target,post,3.1976475333332623,1.8911933705882054,1.306454162745057
both_00015,both,target,mid,1.7454137285714881,1.6439171230769647,0.10149660549452344
both_00015,both,target,pre,2.2506173428572374,2.5455848461538855,-0.2949675032966481
both_00015,both,lure,post,1.925159089999943,1.5882073899998885,0.33695170000005437
both_00015,both,lure,mid,2.12071180769233,3.2968152857142092,-1.1761034780218793
both_00015,both,lure,pre,2.27259545714287,1.7392668666666395,0.5333285904762306
both_00016,both,target,post,2.959505587500189,1.9799582666661688,0.9795473208340202
both_00016,both,target,mid,2.448921899999732,2.0067974187502386,0.44212448124949333
both_00016,both,target,pre,3.1098260999991902,3.0075924266665726,0.10223367333261768
both_00016,both,lure,post,3.136432014285674,2.6633051384608106,0.47312687582486346
both_00016,both,lure,mid,2.7505316500000845,2.724157581250438,0.02637406874964654
both_00016,both,lure,pre,3.0930425900005503,2.776449199999843,0.3165933900007074
both_00017,both,target,post,2.3168182285724988,2.4237763615377705,-0.10695813296527179
both_00017,both,target,mid,7.2002810000009045,3.3380577800005993,3.8622232200003053
both_00017,both,target,pre,2.898788299998867,1.6408878909089915,1.2579004090898753
both_00017,both,lure,post,2.3931159571433716,2.3025933538466723,0.09052260329669926
both_00017,both,lure,mid,2.0611124777771894,1.9753710090907672,0.08574146868642218
both_00017,both,lure,pre,2.2818212727275253,3.4154608222225864,-1.133639549495061
both_00018,both,target,post,1.3759399666669196,0.864936635713093,0.5110033309538267
both_00018,both,target,mid,1.0302839249998215,0.8949440250007683,0.13533989999905316
both_00018,both,target,pre,1.0503452250050032,0.8836142000018299,0.16673102500317327
both_00018,both,lure,post,1.1202513000025647,1.1927880500006722,-0.07253674999810755
both_00018,both,lure,mid,1.0754037230788247,1.1014993285706234,-0.02609560549179868
both_00018,both,lure,pre,1.2181113499987988,1.0666036999988138,0.151507649999985
both_00019,both,target,post,3.7571951400022954,3.033091139998578,0.7241040000037176
both_00019,both,target,mid,2.837112400003308,3.2647367727278667,-0.42762437272455855
both_00019,both,target,pre,2.9444390399963596,1.8986808099973131,1.0457582299990464
both_00019,both,lure,post,2.440964441668863,2.441933287502252,-0.0009688458333889649
both_00019,both,lure,mid,2.9378986266674474,2.2346869000029983,0.7032117266644491
both_00019,both,lure,pre,3.0971784083364278,2.4098469375021523,0.6873314708342755
both_00020,both,target,post,2.2718852909059604,1.2264665999989828,1.0454186909069776
both_00020,both,target,mid,1.1754620199974548,1.4051951799949165,-0.2297331599974617
both_00020,both,target,pre,1.317682654545272,1.2139493000011297,0.10373335454414234
both_00020,both,lure,post,1.7397794555565471,1.3163432090910978,0.4234362464654493
both_00020,both,lure,mid,1.8195568250030192,1.447837700000188,0.3717191250028311
both_00020,both,lure,pre,1.74368624285853,1.4275227769215304,0.3161634659369996
both_00022,both,target,post,3.0293161999999256,2.546456210000065,0.4828599899998607
both_00022,both,target,mid,1.426109833333309,2.52306116470583,-1.096951331372521
both_00022,both,target,pre,2.860193644444381,3.8792276090908797,-1.0190339646464985
both_00022,both,lure,post,4.623788233333304,5.764360299999998,-1.140572066666694
both_00022,both,lure,mid,3.3742724857142514,3.1014912666666987,0.2727812190475527
both_00022,both,lure,pre,3.1923935083333013,3.2381191375000355,-0.04572562916673428
both_00024,both,target,post,2.65893774999995,1.388808933333419,1.270128816666531
both_00024,both,target,mid,1.7247527499998796,1.3158670388889833,0.40888571111089633
both_00024,both,target,pre,1.2613193749998572,1.0071964250000178,0.2541229499998394
both_00024,both,lure,post,1.456524453845934,2.0999169428571673,-0.6433924890112332
both_00024,both,lure,mid,1.5293101727273262,2.8139346777779792,-1.284624505050653
both_00024,both,lure,pre,1.8551387307691654,2.1717182142857774,-0.316579483516612
both_00025,both,target,post,2.2145493249995525,1.4614267749996845,0.7531225499998679
both_00025,both,target,mid,1.702005324998936,1.4071414374998312,0.29486388749910475
both_00025,both,target,pre,1.6791741222223209,1.6216966181812247,0.057477504041096195
both_00025,both,lure,post,1.483482674999929,1.9592508750006346,-0.4757682000007055
both_00025,both,lure,mid,1.4557223250000486,1.5533842499999082,-0.0976619249998596
both_00025,both,lure,pre,1.8088247400002728,1.8029792299996188,0.005845510000654031
both_00026,both,target,post,2.0011883846152787,2.272292000001471,-0.2711036153861923
both_00026,both,target,mid,2.8085580333321962,2.167420563635956,0.6411374696962402
both_00026,both,target,pre,2.070196087500335,2.1827186916658925,-0.11252260416555737
both_00026,both,lure,post,1.3270645833326853,3.1292175857145463,-1.802153002381861
both_00026,both,lure,mid,1.8933449181825959,2.5530980111094927,-0.6597530929268969
both_00026,both,lure,pre,2.329100762500275,2.610602500000217,-0.281501737499942
both_00027,both,target,post,2.844833699999981,0.8347440823529804,2.010089617647001
both_00027,both,target,mid,1.2768937750001328,1.4585484250000178,-0.181654649999885
both_00027,both,target,pre,1.045469349999962,1.1224432277778331,-0.07697387777787101
both_00027,both,lure,post,0.8789569499998985,1.2342515142857045,-0.35529456428580597
both_00027,both,lure,mid,0.8858426857141889,1.2920003769230999,-0.406157691208911
both_00027,both,lure,pre,1.3073651800000334,1.6139883899999858,-0.3066232099999524
both_00028,both,target,post,2.5047749999999724,3.9586848900002223,-1.4539098900002498
both_00028,both,target,mid,3.1394714428570296,1.4458520846145313,1.6936193582424983
both_00028,both,target,pre,2.402729662500178,1.7312675000002855,0.6714621624998927
both_00028,both,lure,post,1.5903945909088757,2.654678922222148,-1.0642843313132724
both_00028,both,lure,mid,2.28333202499986,4.84643508750014,-2.56310306250028
both_00028,both,lure,pre,2.0319582692308567,2.407192828571559,-0.3752345593407025
both_00029,both,target,post,4.179789544444146,2.675219181818565,1.5045703626255813
both_00029,both,target,mid,2.6690518857150374,1.6562010076925686,1.0128508780224688
both_00029,both,target,pre,2.9330832374994316,1.90276282499993,1.0303204124995016
both_00029,both,lure,post,2.2203519000005536,2.028492261538374,0.19185963846217957
both_00029,both,lure,mid,2.9084808000006888,2.244521305263142,0.6639594947375467
both_00029,both,lure,pre,2.8430348000001686,2.2410036777778766,0.602031122222292
both_00030,both,target,post,3.245777835714242,1.866305666666752,1.3794721690474903
both_00030,both,target,mid,3.0058301583333105,1.9450480500000822,1.0607821083332283
both_00030,both,target,pre,2.1604593583334313,1.5608366124999975,0.5996227458334338
both_00030,both,lure,post,2.2104735428571467,2.656993850000314,-0.44652030714316737
both_00030,both,lure,mid,2.1800413833335974,2.4413482500001464,-0.261306866666549
both_00030,both,lure,pre,1.681248091666551,2.519673087499882,-0.838424995833331
both_00031,both,target,post,1.627092128561344,1.795363192307727,-0.1682710637463829
both_00031,both,target,mid,2.228206144432382,2.330747909087222,-0.10254176465483988
both_00031,both,target,pre,2.036835700001878,1.6949977928556368,0.3418379071462414
both_00031,both,lure,post,1.7643783200066536,2.250603260000935,-0.4862249399942813
both_00031,both,lure,mid,2.597945350004011,1.640592049992847,0.9573533000111638
both_00031,both,lure,pre,2.4196922666742466,2.0153800272753206,0.404312239398926
both_00032,both,target,post,1.2784335499988326,1.082210907141936,0.19622264285689672
both_00032,both,target,mid,1.1726888999910443,1.405311805557479,-0.2326229055664346
both_00032,both,target,pre,3.784024500000669,1.3207207000023118,2.463303799998357
both_00032,both,lure,post,1.9050963416678617,1.5143562500015832,0.39074009166627843
both_00032,both,lure,mid,1.429805984617605,1.8970374428546555,-0.4672314582370505
both_00032,both,lure,pre,1.6259179785733326,1.8751814333324244,-0.24926345475909173
both_00033,both,target,post,2.045805628571283,1.521473784615759,0.524331843955524
both_00033,both,target,mid,1.9160822000000433,1.3126670142859698,0.6034151857140735
both_00033,both,target,pre,1.5894122454547785,1.7266905777778447,-0.1372783323230662
both_00033,both,lure,post,1.8828308750003089,2.3211183916664595,-0.4382875166661506
both_00033,both,lure,mid,1.335770400000183,2.2694765200000497,-0.9337061199998666
both_00033,both,lure,pre,1.824132736363853,2.0416471444445454,-0.21751440808069233
both_00034,both,target,post,2.52673306923288,2.1033325285659106,0.4234005406669694
both_00034,both,target,mid,3.580193611112514,2.1517929545463463,1.4284006565661675
both_00034,both,target,pre,1.3085401857159533,2.6616994461521526,-1.3531592604361993
both_00034,both,lure,post,2.246043166667126,1.7271921285698357,0.5188510380972904
both_00034,both,lure,mid,2.78175381666127,2.085085757140145,0.6966680595211248
both_00034,both,lure,pre,2.992266844442282,3.6026203636363126,-0.6103535191940304
both_00036,both,target,post,1.5564007166637264,1.5034070357131506,0.05299368095057577
both_00036,both,target,mid,2.2730913142898186,1.2163858230722746,1.056705491217544
both_00036,both,target,pre,1.3403831333400578,1.2759260363659863,0.06445709697407143
