participant_uid,condition,item_role,mean_rt_incorrect,mean_rt_correct,delta_rt_incorrect_minus_correct
both_00015,both,target,2.209715300000051,2.0142747186046637,0.19544058139538745
both_00015,both,lure,2.125329210810808,2.147625308695573,-0.022296097884765054
both_00016,both,target,2.8835801647056702,2.3484219604650334,0.5351582042406369
both_00016,both,lure,3.042265552381217,2.7172815410255375,0.32498401135567967
both_00017,both,target,4.3965243192310135,2.4393952147057623,1.9571291045252512
both_00017,both,lure,2.237105851851892,2.4970285484851047,-0.2599226966332129
both_00018,both,target,1.1841540285729155,0.8818705326092363,0.3022834959636792
both_00018,both,lure,1.133012009678491,1.1272409965513988,0.005771013127092273
both_00019,both,target,3.1913914965522867,2.749349161289208,0.4420423352630789
both_00019,both,lure,2.8340049641044924,2.38036553809763,0.4536394260068626
both_00020,both,target,1.5437075054033886,1.2604225652163301,0.2832849401870585
both_00020,both,lure,1.7675113916684495,1.4003228833328951,0.3671885083355544
both_00022,both,target,2.741510649999937,2.921792252631564,-0.18028160263162718
both_00022,both,lure,3.778179521951188,3.8597738000000246,-0.08159427804883679
both_00024,both,target,1.726582312499886,1.2461405826923755,0.48044172980751054
both_00024,both,lure,1.6182171162161318,2.4011677478261926,-0.7829506316100607
both_00025,both,target,1.8874753809520501,1.4843601820509484,0.4031151989011017
both_00025,both,lure,1.5693737470588958,1.774264357692328,-0.20489061063343228
both_00026,both,target,2.2618013333330356,2.1980098166665507,0.06379151666648486
both_00026,both,lure,1.8968795080002747,2.8032616657140483,-0.9063821577137736
both_00027,both,target,1.748112766666711,1.131988280392195,0.6161244862745159
both_00027,both,lure,1.0673170565216978,1.3571732432432437,-0.2898561867215459
both_00028,both,target,2.6498354960000143,2.261661028571273,0.3881744674287413
both_00028,both,lure,1.9808272861110305,3.3130808666667235,-1.332253580555693
both_00029,both,target,3.3235889583332514,2.0497549444446324,1.273834013888619
both_00029,both,lure,2.41370137000049,2.1870874080000067,0.22661396200048323
both_00030,both,target,2.827272734210534,1.7838596045455068,1.043413129665027
both_00030,both,lure,2.033739560526364,2.5286424454546417,-0.4949028849282775
both_00031,both,target,1.9847506545378233,1.9133662526299686,0.07138440190785467
both_00031,both,lure,2.1657736956587303,1.9168833972952277,0.24889029836350263
both_00032,both,target,2.0960064249981465,1.2828770083345564,0.8131294166635901
both_00032,both,lure,1.64644834871974,1.7450095571423714,-0.09856120842263127
both_00033,both,target,1.8041944708334086,1.4915753500002513,0.31261912083315724
both_00033,both,lure,1.741956629166907,2.22973313333331,-0.48777650416640306
both_00034,both,target,2.5596225413810942,2.3546820322564246,0.20494050912466966
both_00034,both,lure,2.7189134999976625,2.384633702562543,0.3342797974351197
both_00036,both,target,1.6960678045487094,1.3393658052618296,0.35670199928687985
both_00036,both,lure,1.834593552500155,1.9017897300000186,-0.06719617749986351
both_00037,both,target,5.281129400003313,1.595801513723107,3.685327886280206
both_00037,both,lure,2.16724930816254,4.719926999998279,-2.552677691835739
both_00038,both,target,1.592056467644665,1.5546947961556725,0.03736167148899239
both_00038,both,lure,1.359312858622208,1.27423453870635,0.08507831991585801
both_00039,both,target,3.325859710003715,1.7110504659975414,1.6148092440061734
both_00039,both,lure,3.927907894731585,2.812016699997581,1.115891194734004
both_00040,both,target,3.022717121429326,1.860069854347587,1.1626472670817387
both_00040,both,lure,2.0326998439005566,2.2932495210567905,-0.2605496771562339
both_00041,both,target,3.0286861812503503,3.43895720357198,-0.4102710223216297
both_00041,both,lure,3.7635020199988505,2.9540785020004843,0.8094235179983662
both_00042,both,target,2.3893347999985832,1.7248972687500554,0.6644375312485278
both_00042,both,lure,1.8497708577777505,2.2110091466660378,-0.36123828888828724
both_00043,both,target,2.702396596553093,2.3203282677446446,0.3820683288084483
both_00043,both,lure,3.432275957143117,2.7682936000007126,0.6639823571424044
both_00044,both,target,5.549822577778185,1.501416243136833,4.048406334641352
both_00044,both,lure,2.098515343241947,3.376668000000316,-1.278152656758369
both_00045,both,target,1.8543289041675355,1.6119748361104738,0.24235406805706172
both_00045,both,lure,2.0637832125015847,1.9277044649992603,0.1360787475023244
both_00046,both,target,3.248178906253088,2.1684781386356917,1.0797007676173962
both_00046,both,lure,2.5399521650004315,2.565618334998726,-0.025666169998294297
both_00047,both,target,3.3912767809538527,1.8591100692253513,1.5321667117285014
both_00047,both,lure,1.9604074894665053,2.9556768609710584,-0.9952693715045531
both_00049,both,target,2.7742651323599548,1.559290280771585,1.2149748515883698
both_00049,both,lure,2.971404003128555,3.339735239293077,-0.3683312361645221
both_00050,both,target,1.73247218947539,1.6559136878094272,0.0765585016659629
both_00050,both,lure,1.7299292928593266,1.8084638687469123,-0.07853457588758572
both_00051,both,target,2.7495115363589404,2.4282092605257946,0.32130227583314586
both_00051,both,lure,3.4406206559948624,2.605409374285955,0.8352112817089075
both_00052,both,target,1.6969450562464772,1.1218384227342375,0.5751066335122397
both_00052,both,lure,1.6328679977825635,1.9628320466765823,-0.32996404889401876
both_00053,both,target,3.8667088999948462,3.597028591432276,0.2696803085625703
both_00053,both,lure,4.421561764710693,3.176357032561967,1.2452047321487254
both_00054,both,target,2.085409011096797,1.4190217529414404,0.6663872581553567
both_00054,both,lure,1.584919939397933,1.7276902036974207,-0.1427702642994877
both_00055,both,target,1.6006883874999858,1.7464143194445871,-0.14572593194460137
both_00055,both,lure,2.1328212086954133,2.4182389428568576,-0.28541773416144434
both_00056,both,target,2.3283718952388015,1.460735174366094,0.8676367208727076
both_00056,both,lure,1.683048931246958,1.951074957140788,-0.26802602589382984
both_00057,both,target,2.1442014000002185,1.8085007552634986,0.3357006447367199
both_00057,both,lure,1.6431871777776568,1.8271976909087575,-0.18401051313110073
both_00058,both,target,7.591610508004669,6.324125851421351,1.267484656583318
both_00058,both,lure,6.428446405254745,7.0492168454564474,-0.620770440201702
both_00059,both,target,2.2096971000017436,1.5951094348809336,0.61458766512081
both_00059,both,lure,2.319573818518418,2.27876621818304,0.04080760033537789
both_00060,both,target,3.368325941666645,1.92440402500002,1.443921916666625
both_00060,both,lure,1.968146761290295,2.426815386206915,-0.45866862491661986
both_00061,both,target,3.245907004007604,2.3991680800049964,0.8467389240026075
both_00061,both,lure,2.804236254768468,2.8709023333277504,-0.0666660785592823
both_00062,both,target,3.10126195455351,2.4222347959187074,0.6790271586348027
both_00062,both,lure,2.5802189852932798,4.06042239231353,-1.4802034070202503
both_00063,both,target,2.261590795247771,1.8250911666650491,0.43649962858272207
both_00063,both,lure,2.258875521880327,2.518636353569621,-0.25976083168929387
both_00064,both,target,2.081270962074431,1.7804959354858334,0.3007750265885978
both_00064,both,lure,2.343959538233535,2.1602243730762543,0.18373516515728072
both_00065,both,target,2.499391790484965,1.7051833230876723,0.7942084673972929
both_00065,both,lure,2.1569952473510057,1.985930236584575,0.17106501076643066
both_00066,both,target,5.035589780006558,2.4136258700001054,2.6219639100064525
both_00066,both,lure,3.7414240937505383,2.559756772726277,1.1816673210242614
both_00067,both,target,3.5880757333361544,1.3739978862748317,2.214077847061323
both_00067,both,lure,2.39502933590064,2.6031738666767654,-0.2081445307761256
item_only_00001,item_only,target,2.0945857473691976,2.5443838853659653,-0.4497981379967677
item_only_00001,item_only,lure,1.6778419653847567,2.3962272735289467,-0.71838530814419
item_only_00002,item_only,target,8.825688699999882,6.783190694285856,2.042498005714026
item_only_00002,item_only,lure,6.572407168571538,9.55941112800021,-2.987003959428672
item_only_00003,item_only,target,1.987218633334258,1.5497402999996364,0.4374783333346217
item_only_00003,item_only,lure,1.924019440476037,2.106128994446206,-0.18210955397016892
item_only_00004,item_only,target,1.6164075349995983,1.6816281624996918,-0.0652206275000935
item_only_00004,item_only,lure,2.0989999629635823,1.6503840939372876,0.4486158690262947
item_only_00005,item_only,target,1.8434929714286616,1.3647364500002763,0.4787565214283853
item_only_00005,item_only,lure,1.6355139958329044,1.7371755777773312,-0.10166158194442687
item_only_00006,item_only,target,5.158854114285662,3.1292054456511242,2.0296486686345374
item_only_00006,item_only,lure,3.5723321172423814,4.175043935483817,-0.6027118182414357
item_only_00007,item_only,target,2.394298569994862,2.359470017997664,0.03482855199719781
item_only_00007,item_only,lure,2.3613646319160795,6.051925253846163,-3.690560621930084
item_only_00008,item_only,target,4.98428069285725,2.8710722934782433,2.1132083993790065
item_only_00008,item_only,lure,4.454656253571443,4.583815400000006,-0.12915914642856308
item_only_00009,item_only,target,1.7822662347826221,1.6327541918918862,0.14951204289073594
item_only_00009,item_only,lure,2.122814466666703,1.9415167393938673,0.18129772727283577
item_only_00010,item_only,target,1.78865837058827,1.2012065139534824,0.5874518566347875
item_only_00010,item_only,lure,1.2671873742857316,1.7032622880000599,-0.43607491371432827
item_only_00011,item_only,target,2.3464096714287734,1.6435075108697477,0.7029021605590258
item_only_00011,item_only,lure,1.8257332055556819,2.0664583214285295,-0.24072511587284762
item_only_00012,item_only,target,2.577853194737384,2.677506509090811,-0.09965331435342684
item_only_00012,item_only,lure,2.5026870571427935,2.7081266562499877,-0.20543959910719423
item_only_00013,item_only,target,2.0315629476190225,1.6562185794871602,0.3753443681318622
item_only_00013,item_only,lure,2.583096099999938,2.2843518852941997,0.2987442147057382
item_only_00014,item_only,target,1.7625738612904305,1.695683306896485,0.06689055439394553
item_only_00014,item_only,lure,1.2467053071428122,1.9269163111110477,-0.6802110039682354
item_only_00015,item_only,target,6.047943512499955,5.258780497727127,0.7891630147728286
item_only_00015,item_only,lure,6.024073293333519,4.419105020000117,1.6049682733334016
item_only_00016,item_only,target,2.331995866666754,1.2889694277777448,1.0430264388890091
item_only_00016,item_only,lure,2.0194024531249966,2.8414556142856133,-0.8220531611606168
item_only_00017,item_only,target,1.7486402444192208,1.4614413690481645,0.2871988753710564
item_only_00017,item_only,lure,1.8276328428570803,1.70105383077708,0.12657901208000033
item_only_00018,item_only,target,1.5622404999976425,1.5334242288470425,0.028816271150599926
item_only_00018,item_only,lure,1.581058537500212,1.3183615857155278,0.2626969517846842
item_only_00019,item_only,target,2.3724312411744477,1.5000511465139341,0.8723800946605136
item_only_00019,item_only,lure,1.8804621733356421,2.1779222366691102,-0.2974600633334681
item_only_00020,item_only,target,4.586079377776413,2.2000901619047952,2.3859892158716174
item_only_00020,item_only,lure,3.0893997291677806,3.5599595333321,-0.4705598041643193
item_only_00021,item_only,target,2.3484877562550537,1.5115141386393753,0.8369736176156783
item_only_00021,item_only,lure,2.158204803126864,2.2034734142881853,-0.04526861116132119
item_only_00022,item_only,target,5.451488820001396,3.6948686300005646,1.7566201900008314
