condition,test_boundary_position,lure_bin,p_similar,n_trials
item_only,post,1,0.3584070796460177,226
item_only,post,2,0.5462555066079295,227
item_only,post,3,0.527027027027027,222
item_only,post,4,0.5384615384615384,234
item_only,post,5,0.5497630331753555,211
item_only,mid,1,0.3831417624521073,261
item_only,mid,2,0.5116279069767442,215
item_only,mid,3,0.5,218
item_only,mid,4,0.596244131455399,213
item_only,mid,5,0.6384976525821596,213
item_only,pre,1,0.3940677966101695,236
item_only,pre,2,0.5022222222222222,225
item_only,pre,3,0.5333333333333333,225
item_only,pre,4,0.5610859728506787,221
item_only,pre,5,0.5352112676056338,213
both,post,1,0.3425925925925926,216
both,post,2,0.47619047619047616,189
both,post,3,0.44660194174757284,206
both,post,4,0.5343915343915344,189
both,post,5,0.5111111111111111,180
both,mid,1,0.3727810650887574,169
both,mid,2,0.47752808988764045,178
both,mid,3,0.4946236559139785,186
both,mid,4,0.5442477876106194,226
both,mid,5,0.5384615384615384,221
both,pre,1,0.40825688073394495,218
both,pre,2,0.4948453608247423,194
both,pre,3,0.42788461538461536,208
both,pre,4,0.47761194029850745,201
both,pre,5,0.5157232704402516,159
task_only,post,1,0.4868421052631579,228
task_only,post,2,0.527363184079602,201
task_only,post,3,0.6222222222222222,225
task_only,post,4,0.6,190
task_only,post,5,0.6620370370370371,216
task_only,mid,1,0.43243243243243246,222
task_only,mid,2,0.5373831775700935,214
task_only,mid,3,0.5657894736842105,228
task_only,mid,4,0.6222222222222222,180
task_only,mid,5,0.6666666666666666,216
task_only,pre,1,0.42543859649122806,228
task_only,pre,2,0.5435897435897435,195
task_only,pre,3,0.5857142857142857,210
task_only,pre,4,0.6979166666666666,192
task_only,pre,5,0.6638297872340425,235
